Designator,Footprint,Quantity,Value,LCSC Part #
AC1,IIM42352,1,ICM-42605,
ANT1,ANT2P-5.2x2x1.1MM,1,KH5220-A36,KH5220-A36
ANT2,U-FL3P-SMD-2.6X2.6X1.0MM,1,U.FL-R-SMT-1,U.FL-R-SMT-1
BT1,BAT_BU2032SM-JJ-GTR,1,BU2032SM-JJ-GTR,
"C1, C13, C4",C0402,3,10uF,CC0402MRX5R6BB106
"C10, C11, C22",C0201,3,15pF,CC0201JRNPO9BN150
C12,C0201,1,10nF,CC0201KRX7R7BB103
"C14, C21, C5, C8, C9",C0201,5,1uF,CC0201MRX5R5BB105
"C15, C16, C17, C2, C20",C0201,5,100nF,CC0201KRX5R6BB104
C18,C0201,1,100pF,CC0201JRNPO9BN101
"C19, C6, C7",C0201,3,10pF,CC0201JRNPO8BN100
C23,C0201,1,3.3pF,CQ0201BRNPO8BN3R3
C24,C0201,1,1.5pF,CC0201BRNPO9BN1R5
C25,C0201,1,TBD,
C26,0201,1,10nF,CC0201KRX7R7BB103
C27,C0201,1,2.4pF,GRM0335C1H2R4BA01D
C28,C0201,1,2.2pF,GRM0335C1H2R2BA01D
C29,0201,1,1uF,CC0201MRX5R5BB105
"C3, C30",0201,2,100nF,CC0201KRX5R6BB104
C31,0603,1,4.7uF/10v/1608,
C32,0603,1,1uF/35v/1608,
C33,0603,1,10nF/6.3v/1608,
CHG1,LED-0402,1,Red,BL-HUB37A-AV-TRB
D1,DFN1006-2L,1,LMBR4010BST5G,LMBR4010BST5G
D2,ESD-0402,1,ESDPSA0402V05,ESDPSA0402V05
D3,DFN1006-2L,1,LNZ8F5V6T5G,LNZ8F5V6T5G
D4,LED-0402,1,Yellow,16-213/Y2C-AN2Q1B/3T
D5,SODFL4725X105N,1,RB160LAM-40TR,
IC1,MLX90614ESFDAA000TU,1,MLX90614ESF-DAA-000-TU,
IC2,SOT95P280X145-5N,1,LP2985AIM5X-3.1_NOPB,
"K1, K2",SW4-SMD-2.8-2.6X1.6X0.53MM,2,SKTAAAE010,SKTAAAE010
L1,L0603,1,0.47uH,TFM160808ALC-R47MTAA
L2,L0201,1,2.0nH,LQP03HQ2N0B02D
L3,L0201,1,2.7nH,LQP03TN2N7B02D
L4,L0201,1,TBD,
L5,L0201,1,3nH,LQP03TN3N0B02D
"Q1, Q3",PMOS_1.0X0.6X0.35MM,2,LP0404N3T5G,LP0404N3T5G
Q2,PMOS_1.0X0.6X0.35MM,1,LN237N3T5G,LN237N3T5G
R1,R0201,1,249K,RC0201FR-07249KL
R10,R0201,1,200K,RC0201FR-07200KL
"R11, R16, R17, R21, R22, R23",R0201,6,10K,RC0201FR-0710KL
"R12, R15",R0201,2,0R,RC0201FR-070RL
"R13, R24, R3, R6",R0201,4,5.1K,RC0201FR-075K1L
R14,R0201,1,499R,RC0201FR-07499RL
"R18, R25",R0201,2,1.5K,RC0201FR-071K5L
R19,R0201,1,2.2K,RC0201FR-072K2L
"R2, R4",0201,2,3.3k,0201WMF3301TEE
R20,R0201,1,100R,RC0201FR-07100RL
R26,0603,1,604F/(1/10W)/1608,
"R7, R8",R0201,2,22R,RC0201JR-0722RL
R9,R0201,1,100K,RC0201FR-07100KL
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TP-D45MIL,8,Test Point,
U1,BGA6-0.35-0.745X10.95X0.4MM,1,"SMD IC PMIC;DCDC Buck-ADJ-1A,Vin 1.95V to 5.5V,Vout 1.8V to 3.3V;WLCSP-6B",SGM6029CYG/TR	
U2,MOUDLE14P-XIAO-HALF-HOLE,1,~,
U3,WLCSP-0.4-0.92X1.16X0.4MM,1,SGM40567-4.2XG/TR,SGM40567-4.2XG/TR
U4,QFN32-0.5-5X5MM,1,ESP32-C6FH4,ESP32-C6FH4
U5,DFN6-0.4-1.1X0.7X0.45MM,1,FM8625H,FM8625H
USB1,USB2.0-TYPE-C,1,USB2.0 Type C,UBF31-0171
X1,X4-SMD-1.6X1.2MM,1,40MHz,CJ17-400001010B20
