Designator,Mid X,Mid Y,Rotation,Layer
AC1,102.74,-59.085,90.0,top
ANT1,99.1362,-76.0,270.0,top
ANT2,99.89185,-68.58,180.0,top
BT1,86.95,-68.0,90.0,top
C1,104.84,-69.46,90.0,top
C10,107.44,-70.06,90.0,top
C11,109.01,-72.1614,270.0,top
C12,106.5944,-72.353,90.0,top
C13,103.07,-77.84,270.0,top
C14,103.26,-76.08,180.0,top
C15,103.25,-75.55,180.0,top
C16,103.13,-74.73,270.0,top
C17,103.26,-76.61,180.0,top
C18,102.66,-72.11,180.0,top
C2,108.34,-68.23,180.0,top
C20,110.3148,-76.0614,0.0,top
C21,111.18,-68.8,180.0,top
C22,111.2,-77.54,0.0,top
C23,102.57,-68.37,90.0,top
C24,102.87,-69.62,180.0,top
C26,104.57,-59.385,90.0,top
C27,99.14,-71.12,90.0,top
C28,100.62,-71.11,90.0,top
C29,103.34,-55.11,180.0,top
C3,103.33,-56.05,180.0,top
C30,107.18,-52.21,270.0,top
C31,97.83,-84.53,180.0,top
C32,90.79,-86.08,90.0,top
C33,97.83,-86.58,180.0,top
C4,104.0008,-67.6656,180.0,top
C5,105.3498,-72.353,90.0,top
C8,110.4392,-71.3486,270.0,top
C9,110.19,-68.75,180.0,top
CHG1,114.5286,-67.0052,180.0,top
D1,109.3216,-67.818,270.0,top
D2,111.2012,-70.0532,270.0,top
D3,109.728,-71.0946,270.0,top
D4,114.5286,-78.6892,180.0,top
D5,96.65,-81.45,0.0,top
IC1,110.24,-56.37,180.0,top
IC2,93.83,-85.46,0.0,top
K1,117.856,-66.294,90.0,top
K2,117.856,-79.4512,270.0,top
L1,106.47,-67.78,180.0,top
L2,103.63,-74.73,90.0,top
L3,103.12,-68.87,270.0,top
L5,99.88,-71.38,0.0,top
Q1,110.2106,-67.818,180.0,top
Q2,108.5342,-69.3928,270.0,top
Q3,102.91,-73.01,0.0,top
R1,105.74,-71.05,90.0,top
R10,109.19,-68.75,180.0,top
R11,111.17,-67.27,180.0,top
R12,106.61,-71.2216,90.0,top
R13,110.22,-78.55,180.0,top
R14,110.3148,-75.5534,0.0,top
R15,110.4,-74.0548,0.0,top
R16,111.19,-68.28,180.0,top
R17,111.2,-78.05,180.0,top
R19,108.21,-69.98,0.0,top
R2,112.78,-61.24,90.0,top
R20,111.19,-67.78,180.0,top
R21,102.92,-73.88,0.0,top
R24,104.71,-71.05,90.0,top
R25,111.2012,-78.56,180.0,top
R26,92.52,-82.04,90.0,top
R3,111.27,-74.38,90.0,top
R4,109.88,-61.62,180.0,top
R6,111.2012,-71.1454,180.0,top
R7,111.05,-72.525,180.0,top
R8,111.075,-73.175,180.0,top
R9,108.2,-68.75,0.0,top
TP1,109.48,-74.05,0.0,bottom
TP2,109.4232,-71.6026,0.0,bottom
TP3,114.5032,-74.1426,0.0,bottom
TP4,111.9632,-71.6026,0.0,bottom
TP5,117.0432,-71.6026,0.0,bottom
TP6,111.9632,-74.1426,0.0,bottom
TP7,117.0432,-74.1426,0.0,bottom
TP8,114.5032,-71.6026,0.0,bottom
U1,106.37,-69.58,0.0,top
U2,108.3977,-72.876,0.0,top
U3,110.0074,-69.5706,270.0,top
U4,106.835,-75.8074,0.0,top
U5,103.02,-70.9,315.0,top
USB1,115.6064,-72.88,180.0,top
X1,107.8364,-71.5772,90.0,top
